Company,Model,Location,Year,Kilometers_Driven,Power_bhp,Mileage_n,Fuel_Type,Transmission,Owner_Type,Seats,New_Price,Price,No_Year,Engine_CC
Honda,Jazz,Chennai,2011,46000,88.7,18.2,Petrol,Manual,First,5,8.61 Lakh,4.5,9,1199
Toyota,Innova,Mumbai,2016,36000,171.5,11.36,Diesel,Automatic,First,8,21 Lakh,17.5,4,2755
Maruti,Ciaz,Kochi,2018,25692,103.25,21.56,Petrol,Manual,First,5,10.65 Lakh,9.95,2,1462
Mitsubishi,Pajero,Delhi,2014,110000,175.56,13.5,Diesel,Manual,First,7,32.01 Lakh,15,6,2477
BMW,3 Series,Kochi,2014,32982,190,22.69,Diesel,Automatic,First,5,47.87 Lakh,18.55,6,1995
Honda,WRV,Kochi,2018,37430,88.7,17.5,Petrol,Manual,First,5,10.57 Lakh,9.9,2,1199
Volkswagen,Vento,Coimbatore,2014,55431,103.5,16.09,Petrol,Manual,Second,5,12.33 Lakh,6.98,6,1598
Maruti,Vitara,Kochi,2018,50075,88.5,24.3,Diesel,Manual,First,5,11.12 Lakh,8.63,2,1248
Hyundai,Elantra,Bangalore,2014,46374,149.92,14.62,Petrol,Automatic,First,5,23.64 Lakh,8.85,6,1999
Toyota,Innova,Bangalore,2012,70704,163.7,11.25,Petrol,Manual,First,7,18.64 Lakh,10.95,8,2694
Toyota,Innova,Mumbai,2017,22000,147.8,13.68,Diesel,Manual,First,8,19.34 Lakh,16.5,3,2393
Mercedes-Benz,C-Class,Coimbatore,2019,15369,194,0,Diesel,Automatic,First,5,49.14 Lakh,35.67,1,1950
Hyundai,Creta,Mumbai,2018,13000,88.7,22.1,Diesel,Manual,First,5,11.81 Lakh,10.5,2,1396
Nissan,Terrano,Kochi,2015,56066,108.5,19.64,Diesel,Manual,First,5,16.65 Lakh,6.92,5,1461
Tata,Zest,Pune,2017,70000,88.7,17.57,Petrol,Manual,First,5,6.67 Lakh,4.5,3,1193
Datsun,GO,Pune,2017,32851,67,19.83,Petrol,Manual,First,7,6.45 Lakh,3.95,3,1198
Toyota,Etios,Ahmedabad,2014,53000,78.9,17.71,Petrol,Manual,First,5,6.41 Lakh,3.9,6,1197
Toyota,Innova,Mumbai,2017,30000,171.5,11.36,Diesel,Automatic,First,7,27 Lakh,19.25,3,2755
Maruti,Eeco,Coimbatore,2017,38053,73,15.1,Petrol,Manual,First,5,5.13 Lakh,3.91,3,1196
BMW,3 Series,Mumbai,2015,56087,190,22.69,Diesel,Automatic,First,5,54.43 Lakh,20.75,5,1995
Nissan,Micra,Coimbatore,2016,39882,75.94,19.15,Petrol,Automatic,First,5,9.51 Lakh,6.55,4,1198
Maruti,Vitara,Mumbai,2016,55000,88.5,24.3,Diesel,Manual,First,5,9.96 Lakh,7.5,4,1248
Hyundai,Verna,Kolkata,2018,10250,126.2,22,Diesel,Manual,First,5,14.44 Lakh,10.95,2,1582
Maruti,Alto,Hyderabad,2014,88500,67.1,24.07,Petrol,Manual,First,5,4.53 Lakh,2.6,6,998
Mercedes-Benz,SLC,Kolkata,2017,13372,362.07,19,Petrol,Automatic,First,2,95.04 Lakh,54,3,2996
Hyundai,Verna,Kochi,2019,12645,121.3,17,Petrol,Automatic,First,5,13.49 Lakh,11.5,1,1591
Audi,RS5,Mumbai,2013,23000,444,11.05,Petrol,Automatic,First,4,1.28 Cr,37,7,2894
BMW,3 Series,Mumbai,2014,48000,190,21.76,Diesel,Automatic,First,5,60.88 Lakh,26.5,6,1995
Hyundai,Grand i10,Kolkata,2019,1000,81.86,18.9,Petrol,Manual,First,5,7.39 Lakh,6.5,1,1197
BMW,5 Series,Hyderabad,2014,51000,190,22.48,Diesel,Automatic,First,5,69.47 Lakh,33.5,6,1995
Maruti,Baleno,Kochi,2017,24773,83.1,21.4,Petrol,Manual,First,5,8.78 Lakh,7.5,3,1197
Maruti,Ertiga,Mumbai,2016,33000,88.5,25.47,Diesel,Manual,First,7,12.74 Lakh,8.5,4,1248
Mahindra,NuvoSport,Chennai,2017,29000,83.8,19.87,Diesel,Manual,Second,7,10.52 Lakh,6.5,3,1493
Maruti,Vitara,Mumbai,2016,20000,100,17.45,Diesel,Manual,First,5,11.98 Lakh,9,4,1248
Honda,Amaze,Kolkata,2013,45000,,16.1,Diesel,Manual,First,5,8.54 Lakh,3.25,7,1498
Skoda,Superb,Hyderabad,2017,26000,68.05,19.81,Petrol,Automatic,First,5,33.58 Lakh,26,3,1798
Mahindra,Verito,Hyderabad,2013,107000,98.6,25.8,Diesel,Manual,First,5,9.12 Lakh,3.7,7,1461
Maruti,Wagon R,Kolkata,2013,32000,65,21.03,Petrol,Manual,First,5,5.29 Lakh,2.65,7,998
Mini,Cooper,Kochi,2017,26327,108.5,19.01,Petrol,Automatic,First,4,44.28 Lakh,35.67,3,1998
Toyota,Innova,Kochi,2019,14165,74,22.9,Diesel,Automatic,First,7,20.74 Lakh,19.64,1,2755
Honda,City,Kolkata,2011,32572,171.5,11.36,Petrol,Manual,First,5,11.74 Lakh,3.87,9,1497
Toyota,Innova,Pune,2017,43000,68.05,19.81,Diesel,Manual,First,7,25.52 Lakh,18.65,3,2393
Hyundai,Verna,Hyderabad,2008,143275,82,18.9,Diesel,Manual,First,5,14.07 Lakh,2.6,12,1582
Mercedes-Benz,GLE,Coimbatore,2017,29819,,0,Diesel,Automatic,First,5,95.13 Lakh,61.29,3,2987
Tata,Zest,Pune,2017,121900,74,28.4,Diesel,Manual,First,5,8.34 Lakh,3.75,3,1248
Tata,Zest,Pune,2018,45000,103.6,20.54,Diesel,Manual,First,5,8.34 Lakh,5.25,2,1248
Honda,Jazz,Delhi,2015,62178,177,18.48,Petrol,Manual,First,5,8.85 Lakh,4.85,5,1199
Toyota,Innova,Chennai,2016,48000,170,19.27,Diesel,Manual,First,7,25.4 Lakh,20.25,4,2393
Honda,City,Mumbai,2017,15000,73.9,16.47,Petrol,Automatic,First,5,16.67 Lakh,12.69,3,1497
Mercedes-Benz,GLE,Hyderabad,2017,29000,,17.8,Diesel,Automatic,First,5,79.43 Lakh,57,3,2143
Honda,Brio,Kochi,2012,91931,103.6,20.54,Petrol,Manual,First,5,6.62 Lakh,3.13,8,1198
Audi,Q7,Coimbatore,2017,97430,174.33,17.68,Diesel,Automatic,First,7,1.04 Cr,62.67,3,2967
Maruti,Vitara,Chennai,2016,45000,125,11.3,Diesel,Manual,First,5,9.12 Lakh,7.15,4,1248
BMW,3 Series,Kochi,2015,30717,98.6,25.8,Diesel,Automatic,Second,5,58.67 Lakh,25.99,5,1995
Skoda,Octavia,Jaipur,2005,100000,126.32,22.32,Petrol,Automatic,First,5,28.37 Lakh,2.05,15,1984
Maruti,Alto,Pune,2017,30000,88.8,21.02,Petrol,Manual,First,5,4.48 Lakh,3.75,3,998
Jaguar,XF,Hyderabad,2017,21000,89.84,22.7,Diesel,Automatic,First,5,72.64 Lakh,52,3,1999
Skoda,Superb,Kochi,2019,13747,177,19.33,Petrol,Automatic,First,5,36.15 Lakh,27.3,1,1798
Mini,Clubman,Pune,2017,8350,67,17.8,Petrol,Manual,First,5,44.59 Lakh,35,3,1998
Maruti,Vitara,Hyderabad,2017,39000,179.5,11.07,Diesel,Manual,First,5,12 Lakh,9.49,3,1248
Honda,BRV,Kochi,2017,35676,170,15.8,Petrol,Automatic,First,7,14.65 Lakh,9.48,3,1497
Jaguar,XE,Mumbai,2017,9000,118,17,Petrol,Automatic,First,5,53.72 Lakh,34.5,3,1999
Mitsubishi,Pajero,Hyderabad,2018,12000,187.7,12.7,Diesel,Automatic,First,7,33.91 Lakh,28,2,2477
BMW,3 Series,Mumbai,2015,41000,170,14.84,Diesel,Automatic,First,5,60.88 Lakh,25.5,5,1995
Honda,BR-V,Pune,2017,9000,120,15.4,Petrol,Manual,First,7,12.51 Lakh,8.5,3,1497
Hyundai,i20,Jaipur,2017,40250,215,16,Petrol,Manual,First,5,9.74 Lakh,6.9,3,1197
Mercedes-Benz,GLC,Coimbatore,2018,22397,94,13.2,Petrol,Automatic,First,5,95.38 Lakh,70.99,2,2996
Audi,A6,Mumbai,2016,47000,100,13,Petrol,Automatic,First,5,60.59 Lakh,24.5,4,1798
Mini,Cooper,Mumbai,2014,11900,121.3,15.29,Petrol,Automatic,First,4,44.28 Lakh,28.5,6,1998
Mahindra,Bolero,Coimbatore,2016,82756,73,15.1,Diesel,Manual,First,7,11.28 Lakh,7.7,4,2523
Volkswagen,Vento,Mumbai,2017,15000,55.2,21.1,Petrol,Manual,Second,5,11.48 Lakh,7.1,3,1598
Maruti,S-Cross,Delhi,2018,12923,102,12.8,Diesel,Manual,First,5,11.26 Lakh,8.92,2,1248
Audi,Q3,Coimbatore,2016,86642,47,27.62,Diesel,Automatic,First,5,43.65 Lakh,20.37,4,1968
BMW,3 Series,Bangalore,2016,19235,88.5,25.1,Diesel,Automatic,First,5,62.07 Lakh,36.5,4,1995
Mercedes-Benz,E-Class,Kochi,2018,26405,169,12.55,Petrol,Automatic,First,5,86.97 Lakh,51.43,2,1950
Mercedes-Benz,GLS,Pune,2017,129000,126.32,22.32,Diesel,Automatic,First,7,1 Cr,56,3,2987
Maruti,Wagon R,Ahmedabad,2012,30000,245,11.7,Petrol,Manual,First,5,4.74 Lakh,3.3,8,998
Hyundai,Creta,Chennai,2016,69434,88.73,17.6,Petrol,Manual,First,5,14.84 Lakh,8,4,1591
Mercedes-Benz,New C-Class,Kochi,2019,13190,88.73,22.54,Petrol,Automatic,First,5,49.49 Lakh,38.99,1,1950
BMW,X1,Coimbatore,2017,31645,177,18.48,Diesel,Automatic,First,5,48.18 Lakh,29.4,3,1995
Maruti,Ertiga,Pune,2013,105000,140,15.1,Diesel,Manual,Second,7,12.34 Lakh,6.75,7,1248
Skoda,Rapid,Hyderabad,2017,31000,67.04,23.59,Diesel,Manual,First,5,15.38 Lakh,10.5,3,1498
Toyota,Innova,Ahmedabad,2016,100200,105,17,Diesel,Automatic,First,7,19.21 Lakh,17,4,2755
Jeep,Compass,Jaipur,2018,29000,187.7,16.36,Diesel,Manual,First,5,22.95 Lakh,19,2,1956
Mahindra,Bolero,Jaipur,2012,105000,85.8,18.6,Diesel,Manual,Second,7,11.15 Lakh,6,8,2523
Volkswagen,Polo,Coimbatore,2018,33558,174.33,17.68,Diesel,Manual,First,5,10.32 Lakh,8.12,2,1498
Toyota,Innova,Coimbatore,2019,40674,107.2,10.5,Diesel,Automatic,First,7,28.05 Lakh,24.82,1,2755
Mercedes-Benz,GLC,Mumbai,2018,10003,138.03,14.28,Diesel,Automatic,First,5,59.77 Lakh,48.5,2,2143
Volkswagen,Vento,Mumbai,2016,25000,35,19.7,Diesel,Automatic,First,5,15.86 Lakh,9.45,4,1498
Toyota,Innova,Hyderabad,2017,52000,63,13.6,Diesel,Manual,First,8,19.43 Lakh,17.5,3,2393
Maruti,Vitara,Pune,2016,21558,55.2,21.1,Diesel,Manual,First,5,10.65 Lakh,8.9,4,1248
Mini,Cooper,Mumbai,2016,11000,85,15.9,Diesel,Automatic,First,5,42.12 Lakh,29.5,4,1496
Tata,Safari,Jaipur,2017,37000,174.33,15.73,Diesel,Manual,First,7,16.95 Lakh,11.25,3,2179
Honda,BR-V,Kochi,2017,32249,80,17,Diesel,Manual,First,7,15.45 Lakh,10.79,3,1498
Maruti,Ignis,Mumbai,2017,7000,138.03,19.33,Petrol,Manual,First,5,7.87 Lakh,5.7,3,1197
Maruti,Alto,Bangalore,2011,64357,78,16.4,Petrol,Manual,First,5,4.7 Lakh,2.75,9,998
Honda,BRV,Mumbai,2017,18000,237.4,9.43,Petrol,Automatic,First,7,15.02 Lakh,9.25,3,1497
Maruti,Vitara,Coimbatore,2017,18108,241.4,12.07,Diesel,Manual,First,5,12.56 Lakh,11.31,3,1248
Nissan,Sunny,Kochi,2013,37199,117.3,17.4,Petrol,Automatic,First,5,11.33 Lakh,5.43,7,1498
Toyota,Innova,Bangalore,2017,64798,98.59,22.77,Diesel,Manual,First,7,26.45 Lakh,18.75,3,2393
Maruti,Dzire,Hyderabad,2017,13000,258,15.97,Petrol,Automatic,First,5,10.34 Lakh,8.5,3,1197
Hyundai,Grand i10,Kolkata,2017,14000,103.2,16.2,Diesel,Manual,First,5,7.46 Lakh,4.9,3,1186
Honda,City,Delhi,2014,55818,184,18.88,Petrol,Manual,Second,5,11.85 Lakh,5.7,6,1497
Maruti,Ertiga,Ahmedabad,2017,63939,74,25.2,Diesel,Manual,First,7,10.41 Lakh,7.75,3,1248
Maruti,Celerio,Delhi,2014,35214,,17.8,Petrol,Automatic,Second,5,5.57 Lakh,3.2,6,998
Mini,Cooper,Hyderabad,2014,60000,74,25.2,Diesel,Automatic,Second,5,42.48 Lakh,23.5,6,1496
Honda,City,Bangalore,2015,18955,113.98,20.7,Petrol,Automatic,First,5,16.04 Lakh,10.65,5,1497
Honda,Jazz,Kochi,2018,20024,204,15,Petrol,Manual,First,5,9.1 Lakh,8.46,2,1199
Ford,Figo,Kolkata,2015,72035,46.3,19.7,Diesel,Manual,First,5,7.65 Lakh,2.5,5,1498
Hyundai,Creta,Ahmedabad,2016,21000,68,17.8,Petrol,Manual,First,5,13.74 Lakh,10.9,4,1591
Maruti,Wagon R,Coimbatore,2015,72599,110.4,18.88,Petrol,Manual,First,5,5.72 Lakh,4.32,5,998
Mahindra,XUV500,Coimbatore,2019,19654,141,13.1,Diesel,Automatic,First,7,21.33 Lakh,17.63,1,2179
Mercedes-Benz,GLE,Mumbai,2016,21000,306,18.1,Diesel,Automatic,First,5,78.76 Lakh,56,4,2143
Honda,Amaze,Hyderabad,2018,12000,121.3,17.01,Diesel,Manual,First,5,10.34 Lakh,8.5,2,1498
Maruti,Alto,Pune,2014,49000,98.6,27.4,Petrol,Manual,First,5,4.29 Lakh,2.3,6,998
Volkswagen,Ameo,Mumbai,2017,51000,203,14.21,Diesel,Manual,First,5,10.04 Lakh,6.45,3,1498
Mahindra,Xylo,Chennai,2016,215000,103.6,17.21,Diesel,Manual,First,7,11.67 Lakh,7.5,4,2179
Toyota,Innova,Pune,2017,43200,88.8,20.77,Diesel,Manual,First,7,25.52 Lakh,18.6,3,2393
Hyundai,Xcent,Jaipur,2018,25302,60,17.3,Diesel,Manual,First,5,8.56 Lakh,5.9,2,1186
Toyota,Innova,Kochi,2018,41736,78.9,20.36,Diesel,Automatic,First,7,27 Lakh,19.92,2,2755
Renault,KWID,Jaipur,2017,63262,140,16.55,Petrol,Manual,First,5,4.78 Lakh,3.25,3,999
Maruti,Celerio,Pune,2017,7500,98.6,25.1,Petrol,Automatic,First,5,6.14 Lakh,5,3,998
Maruti,Dzire,Kolkata,2011,46687,67.04,23.1,Petrol,Manual,First,5,7.3 Lakh,2.7,9,1197
Datsun,redi-GO,Bangalore,2016,20487,93.7,13.2,Petrol,Manual,First,5,4.37 Lakh,2.66,4,799
Maruti,Eeco,Coimbatore,2012,56661,85.8,19.1,Petrol,Manual,First,7,4.98 Lakh,3.61,8,1196
Honda,City,Mumbai,2015,30000,,0,Petrol,Automatic,First,5,15.29 Lakh,8.65,5,1497
Jeep,Compass,Mumbai,2017,52000,58.2,26.2,Diesel,Manual,First,5,24.26 Lakh,20,3,1956
Land,Rover,Kochi,2018,31427,73.9,16.47,Diesel,Automatic,First,5,75.12 Lakh,59.72,2,1999
Maruti,Baleno,Kolkata,2016,29000,126.2,19.67,Diesel,Manual,First,5,9.53 Lakh,6.5,4,1248
Mitsubishi,Pajero,Bangalore,2013,132000,74,27.39,Diesel,Manual,First,7,34.6 Lakh,12.49,7,2477
Toyota,Innova,Coimbatore,2018,92056,85.8,18.5,Diesel,Manual,First,7,26.45 Lakh,18.39,2,2393
Honda,Jazz,Mumbai,2016,38000,74,23.4,Diesel,Manual,First,5,11.15 Lakh,6.21,4,1498
Mercedes-Benz,C-Class,Mumbai,2018,8682,82,19.1,Diesel,Automatic,First,5,52.26 Lakh,39.5,2,1950
BMW,5 Series,Mumbai,2012,61240,103.6,15,Diesel,Automatic,First,5,70.43 Lakh,17.5,8,1995
Renault,KWID,Hyderabad,2018,1900,74,26.59,Petrol,Manual,First,5,4.8 Lakh,4.45,2,799
Ford,Ecosport,Coimbatore,2019,23154,69.01,25,Diesel,Manual,First,5,12.12 Lakh,11.65,1,1498
Toyota,Innova,Chennai,2017,67489,34.2,16.8,Diesel,Manual,First,7,19.37 Lakh,16.5,3,2393
Volkswagen,Vento,Coimbatore,2014,56658,120,10.5,Diesel,Manual,First,5,12.14 Lakh,5.39,6,1498
Toyota,Fortuner,Kochi,2013,105072,62.1,16.2,Diesel,Manual,First,7,36.69 Lakh,13.28,7,2755
Jeep,Compass,Mumbai,2017,4000,215,10.8,Petrol,Automatic,First,5,23.68 Lakh,17.75,3,1368
Audi,A4,Hyderabad,2015,45000,152,10.1,Diesel,Automatic,First,5,55.61 Lakh,25,5,1968
Ford,EcoSport,Coimbatore,2018,18385,100.6,12.99,Petrol,Automatic,First,5,14.1 Lakh,12.41,2,1497
Maruti,S-Cross,Coimbatore,2016,74611,170,19.27,Diesel,Manual,First,5,13.26 Lakh,7.94,4,1248
Toyota,Innova,Bangalore,2016,108000,140,16,Diesel,Automatic,First,7,28.05 Lakh,20.5,4,2755
Maruti,Ertiga,Pune,2016,130000,,23.59,Diesel,Manual,First,7,11.27 Lakh,7,4,1248
Maruti,Vitara,Kochi,2019,34688,88.8,20.77,Diesel,Manual,First,5,11.2 Lakh,10.49,1,1248
Tata,Zest,Mumbai,2014,40000,197,10.91,Petrol,Manual,First,5,8.56 Lakh,3.95,6,1193
Maruti,Vitara,Kolkata,2017,35000,174.33,15.73,Diesel,Manual,First,5,9.46 Lakh,6.5,3,1248
Mahindra,XUV300,Chennai,2012,97000,67.1,24.07,Diesel,Manual,First,5,12.79 Lakh,7.25,8,1497
Hyundai,Verna,Kochi,2014,89614,335.2,11.33,Diesel,Manual,First,5,15.57 Lakh,6.01,6,1582
Tata,Hexa,Delhi,2017,55000,80,17,Diesel,Manual,First,7,19.86 Lakh,12,3,2179
Tata,Tiago,Coimbatore,2018,9565,218,17.09,Petrol,Manual,First,5,6.59 Lakh,5.88,2,1199
Mercedes-Benz,E-Class,Kochi,2018,20446,121.3,17.01,Petrol,Automatic,First,5,86.97 Lakh,51.35,2,1950
Mini,Cooper,Ahmedabad,2014,34000,191.34,12.6,Diesel,Automatic,First,5,42.12 Lakh,22,6,1496
Hyundai,Grand i10,Delhi,2017,8471,67.1,26.3,Petrol,Manual,First,5,6.54 Lakh,5,3,1197
Toyota,Innova,Hyderabad,2016,69000,103.6,15.04,Diesel,Automatic,First,7,26.56 Lakh,19.75,4,2755
Renault,Duster,Coimbatore,2017,30090,184,18.88,Diesel,Automatic,First,5,15.05 Lakh,11.44,3,1461
Mahindra,Bolero,Mumbai,2016,40448,75,18,Diesel,Manual,First,7,11.01 Lakh,3.5,4,2523
Maruti,Vitara,Coimbatore,2018,64456,,17.8,Diesel,Manual,First,5,11 Lakh,10.46,2,1248
Honda,Amaze,Kochi,2016,51672,140,15.1,Petrol,Manual,First,5,7.55 Lakh,5.68,4,1199
Hyundai,Grand i10,Hyderabad,2017,20000,,17,Petrol,Manual,First,5,7.82 Lakh,5.98,3,1197
Hyundai,Grand i10,Kochi,2018,50234,85,16.1,Petrol,Manual,First,5,6.32 Lakh,4.77,2,1197
Hyundai,Verna,Mumbai,2015,40600,66.1,19,Petrol,Automatic,First,5,15.14 Lakh,7.2,5,1591
Hyundai,Verna,Ahmedabad,2013,87000,120.7,14.8,Diesel,Automatic,First,5,15.72 Lakh,5.9,7,1582
Volvo,S60,Hyderabad,2015,51000,126.2,22,Diesel,Automatic,First,5,45.67 Lakh,25,5,1969
BMW,3 Series,Chennai,2012,65000,67.04,23.59,Diesel,Automatic,First,5,54.7 Lakh,14,8,1995
Toyota,Innova,Hyderabad,2017,24393,68.05,20,Diesel,Manual,First,7,22.87 Lakh,20.4,3,2393
Volkswagen,Polo,Hyderabad,2019,1000,265,13,Petrol,Manual,First,5,6.74 Lakh,5.68,1,999
Mitsubishi,Pajero,Mumbai,2013,59000,47.3,22.74,Diesel,Manual,First,7,33.09 Lakh,12.75,7,2477
Toyota,Corolla,Delhi,2017,21000,120,12.05,Petrol,Automatic,First,5,23.25 Lakh,18,3,1798
Toyota,Corolla,Ahmedabad,2012,52000,138.03,14.28,Diesel,Manual,First,5,19.27 Lakh,6.5,8,1364
Jaguar,XE,Delhi,2018,1000,88.8,21.9,Diesel,Automatic,First,5,52.77 Lakh,40,2,1999
Mahindra,Xylo,Chennai,2016,85000,167.62,19.27,Diesel,Manual,First,7,11.67 Lakh,6.15,4,2489
Maruti,Swift,Kochi,2017,34613,93.7,14.95,Diesel,Manual,First,5,7.92 Lakh,6.24,3,1248
Hyundai,Xcent,Bangalore,2014,54000,83.1,21.4,Petrol,Manual,First,5,7.85 Lakh,5.5,6,1197
Honda,City,Kochi,2018,22974,67.1,20.92,Petrol,Automatic,First,5,15.55 Lakh,11.97,2,1497
Toyota,Fortuner,Ahmedabad,2015,65012,174.33,17.11,Diesel,Manual,First,7,32.45 Lakh,18.9,5,2755
Maruti,Eeco,Hyderabad,2015,90413,117.3,18,Petrol,Manual,First,7,4.83 Lakh,2.95,5,1196
Maruti,Swift,Mumbai,2015,14000,177.6,14.7,Diesel,Manual,First,5,7.13 Lakh,5.25,5,1248
BMW,5 Series,Coimbatore,2012,44450,88.2,16.1,Diesel,Automatic,First,5,71.82 Lakh,24.68,8,1995
BMW,X1,Mumbai,2016,31000,102,12.8,Diesel,Automatic,First,5,50.97 Lakh,29.5,4,1995
Hyundai,Verna,Chennai,2008,121097,165,0,Diesel,Manual,Second,5,10.73 Lakh,1.9,12,1396
Fiat,Linea,Jaipur,2013,86000,74,25.2,Diesel,Manual,Second,5,9.5 Lakh,2.5,7,1248
BMW,3 Series,Kochi,2013,37613,118,17,Diesel,Automatic,First,5,52.46 Lakh,13.95,7,1995
Maruti,Ignis,Coimbatore,2019,16862,,15.5,Petrol,Manual,First,5,6.07 Lakh,6.06,1,1197
Maruti,Wagon R,Pune,2013,79494,89.84,22.7,CNG,Manual,First,5,5.54 Lakh,2.96,7,998
Audi,Q7,Mumbai,2016,20002,140,15.1,Diesel,Automatic,First,7,1.04 Cr,67,4,2967
Maruti,Alto,Kolkata,2018,2100,186,11.74,Petrol,Manual,First,5,4.33 Lakh,3.6,2,998
Hyundai,Grand i10,Coimbatore,2018,20667,58.16,26.6,Petrol,Automatic,First,5,8.63 Lakh,7.55,2,1197
Hyundai,Grand i10,Kochi,2019,18453,67.1,24.07,Petrol,Manual,First,5,6.68 Lakh,6.17,1,1197
Hyundai,Verna,Hyderabad,2008,96578,81.86,18.9,Diesel,Manual,First,5,14.07 Lakh,2.5,12,1582
Renault,Duster,Bangalore,2016,45000,118,16.8,Diesel,Automatic,First,5,15.05 Lakh,11.5,4,1461
Hyundai,Grand i10,Bangalore,2018,3000,187.74,22.48,Petrol,Automatic,First,5,7.98 Lakh,6.2,2,1197
Toyota,Innova,Kolkata,2016,66618,89.84,22.7,Diesel,Automatic,First,7,24.82 Lakh,15.49,4,2755
Tata,Zest,Mumbai,2016,43706,88.8,20.77,Petrol,Manual,First,5,7.63 Lakh,4,4,1193
Toyota,Innova,Kochi,2018,8899,136,17.9,Diesel,Manual,First,7,22.86 Lakh,19.92,2,2393
Ford,EcoSport,Pune,2018,17000,197.2,10.91,Petrol,Manual,First,5,11.06 Lakh,9.2,2,1497
Maruti,Alto,Hyderabad,2016,10000,68,20,Petrol,Manual,First,5,4.53 Lakh,3.5,4,998
Toyota,Corolla,Mumbai,2010,93000,121.3,17.01,Petrol,Manual,First,5,19.39 Lakh,4.5,10,1798
Hyundai,Elantra,Delhi,2017,9500,174.3,14.16,Petrol,Automatic,First,5,21.77 Lakh,16.35,3,1999
Hyundai,Creta,Chennai,2016,55000,171,11.5,Diesel,Automatic,First,5,18.35 Lakh,12.5,4,1582
Volkswagen,Ameo,Jaipur,2016,58095,105,15.5,Diesel,Manual,First,5,9.19 Lakh,5.8,4,1498
Tata,Zest,Kolkata,2015,7445,90,23,Petrol,Manual,First,5,8.09 Lakh,5,5,1193
Toyota,Corolla,Kochi,2018,28321,103.6,15.04,Petrol,Automatic,First,5,23.25 Lakh,17.49,2,1798
